timestamp,open,high,low,close,volume_(btc),volume_(currency),weighted_price,signal,ema200,ma200,rsi200,%k30
1332826140,4.6,4.6,4.6,4.6,1.6,7.36,4.6,0.0,4.945316,5.07855,47.857109,17.142857
1332828360,4.57,4.57,4.57,4.57,5.593,25.56001,4.57,0.0,4.941581,5.0744,47.70552,10.0
1332832200,4.72,4.72,4.72,4.72,1.0,4.72,4.72,0.0,4.939376,5.0709,48.524862,60.0
1332832860,4.75,4.75,4.75,4.75,1.1,5.225,4.75,0.0,4.937492,5.06755,48.686465,70.0
1332833460,4.78,4.78,4.78,4.78,6.02019298,28.77652244,4.78,0.0,4.935925,5.0643,48.84786,80.0
1332847740,4.73,4.73,4.73,4.73,45.26544092,214.1055356,4.73,0.0,4.933876,5.0608,48.591855,63.333333
1332847800,4.73,4.73,4.73,4.73,16.32558139,77.21999998,4.73,0.0,4.931847,5.05725,48.591855,63.333333
1332848940,4.77,4.77,4.77,4.77,3.0,14.31,4.77,0.0,4.930237,5.0539,48.808647,76.666667
1332849600,4.78,4.78,4.78,4.78,16.39539748,78.36999995,4.78,0.0,4.928742,5.05115,48.862831,80.0
1332850500,4.77,4.77,4.77,4.77,1.0,4.77,4.77,0.0,4.927163,5.0478,48.810907,76.666667
1332850560,4.77,4.77,4.77,4.77,0.00209644,0.010000019,4.77,0.0,4.925599,5.04475,48.810907,95.833333
1332851220,4.73,4.73,4.73,4.73,1.66,7.8518,4.73,0.0,4.923653,5.04175,48.60224,79.166667
1332851400,4.73,4.73,4.73,4.73,1.31944636,6.240981283,4.73,0.0,4.921726,5.0388,48.60224,79.166667
1332854880,4.69,4.69,4.69,4.69,0.8,3.752,4.69,0.0,4.91942,5.03505,48.393274,62.5
1332856020,4.77,4.77,4.77,4.77,2.97944636,14.21195914,4.77,0.0,4.917933,5.0323,48.835451,95.833333
1332856140,4.77,4.77,4.77,4.77,18.67295597,89.06999998,4.77,0.0,4.916461,5.02955,48.835451,95.833333
1332858060,4.73,4.73,4.73,4.73,2.97944636,14.09278128,4.73,0.0,4.914606,5.026,48.625037,79.166667
1332858300,4.76,4.76,4.76,4.76,4.5987395,21.89000002,4.76,0.0,4.913067,5.0229,48.791348,91.666667
1332858720,4.77,4.77,4.77,4.77,20.96436059,100.0,4.77,0.0,4.911644,5.01985,48.846823,95.833333
1332858780,4.77,4.77,4.77,4.77,20.96436059,100.0,4.77,0.0,4.910235,5.01735,48.846823,95.833333
1332859200,4.77,4.77,4.77,4.77,21.14164905,100.845666,4.77,0.0,4.908839,5.01485,48.846823,95.833333
